ID	DOCULECT	ISO_CODE	CONCEPT	CONCEPTICON_ID	IPA	TOKENS	ASJP	DOLGO	SCA	COGNATE_CLASS	COGID
1598	Bahnar-Pleiku	bdq	tooth		sənɛɲ	s ə n ɛ ɲ	s I n E H	S V N V N	S E N E N	5	3620
1599	Bru-Talan	oog	tooth		kənɛˀɛŋ	k ə n ɛˀɛ ŋ	k I n E N	K V N V N	K E N E N	8	3623
1600	Bru-Ubon	bru	tooth		kənɛːŋ	k ə n ɛː ŋ	k I n E N	K V N V N	K E N E N	8	3623
1601	Khmer-Surin	kxm	tooth		tʰmeɲ	tʰ m e ɲ	t m e H	T M V N	T M E N	1	3612
1602	Khmer-Standard	khm	tooth		tmɨɲ	t m ɨ ɲ	t m I H	T M V N	T M I N	1	3612
1603	Mon	mnw	tooth		ŋèak	ŋ èa k	N e k	N V K	N E K	11	3614
1604	Vietnamese	vie	tooth		răng	r ă n g	r a n g	R V N K	R A N K	20	3619
1605	Bahnar-Golar	bdq	tree		ʔlɔːŋ	ʔ l ɔː ŋ	7 l o N	H R V N	H L U N	3	3632
1606	Bahnar-Kontum	bdq	tree		ʔlɔːŋ	ʔ l ɔː ŋ	7 l o N	H R V N	H L U N	3	3632
1607	Bahnar-Pleiku	bdq	tree		ʔlɔːŋ	ʔ l ɔː ŋ	7 l o N	H R V N	H L U N	3	3632
1608	Bru-Talan	oog	tree		tənɔːmlɔˀɔŋ	tənɔːm lɔˀɔŋ	t l	T R	T L	3	3632
1609	Bru-Ubon	bru	tree		ka̤lʔaːluaŋ	ka̤l ʔaːluaŋ	k 7	K H	K H	3	3632
1610	Khmer-Surin	kxm	tree		dʌːmcʰəː	dʌːm cʰəː	d T	T K	T C	1	3625
1611	Khmer-Standard	khm	tree		daəmcʰəː	daəm cʰəː	d T	T K	T C	1	3625
1612	Mon	mnw	tree		cʰuʔ	cʰ u ʔ	T u 7	K V H	C Y H	1	3625
1613	Vietnamese	vie	tree		cây	c â y	T a i	K V V	C A Y	6	3634
1614	Bahnar-Golar	bdq	two		ɓaːr	ɓ aː r	b a r	P V R	P A R	1	3637
1615	Bahnar-Kontum	bdq	two		ɓaːr	ɓ aː r	b a r	P V R	P A R	1	3637
1616	Bahnar-Pleiku	bdq	two		ɓaːr	ɓ aː r	b a r	P V R	P A R	1	3637
1617	Bru-Talan	oog	two		baˀar	b aˀa r	b a r	P V R	P A R	1	3637
1618	Bru-Ubon	bru	two		baːr	b aː r	b a r	P V R	P A R	1	3637
1619	Khmer-Surin	kxm	two		piːr	p iː r	p i r	P V R	P I R	1	3637
1620	Khmer-Standard	khm	two		piː	p iː	p i	P V	P I	1	3637
1621	Mon	mnw	two		ba	b a	b a	P V	P A	1	3637
1622	Vietnamese	vie	two		hai	h ai	h a	H V	H A	7	3641
1623	Bru-Talan	oog	village		weːl	w eː l	w e l	W V R	W E L	7	3662
1624	Bru-Ubon	bru	village		wiːl	w iː l	w i l	W V R	W I L	7	3662
1625	Khmer-Surin	kxm	village		srɔɁ	s r ɔ Ɂ	s r o 7	S R V H	S R U H	10	3643
1626	Khmer-Standard	khm	village		pʰuːm	pʰ uː m	p u m	P V M	P Y M	11	3644
1627	Mon	mnw	village		kwan	k w a n	k w a n	K W V N	K W A N	17	3650
1628	Bahnar-Golar	bdq	water		ɗaːk	ɗ aː k	d a k	T V K	T A K	6	3667
1629	Bahnar-Kontum	bdq	water		ɗaːk	ɗ aː k	d a k	T V K	T A K	6	3667
1630	Bahnar-Pleiku	bdq	water		ɗaːk	ɗ aː k	d a k	T V K	T A K	6	3667
1631	Bru-Talan	oog	water		dəˀəʔ	d əˀə ʔ	d I 7	T V H	T E H	6	3667
1632	Bru-Ubon	bru	water		dəːʔ	d əː ʔ	d I 7	T V H	T E H	6	3667
1633	Khmer-Surin	kxm	water		tɯɁ	t ɯ Ɂ	t u 7	T V H	T I H	6	3667
1634	Khmer-Standard	khm	water		tɨk	t ɨ k	t I k	T V K	T I K	6	3667
1635	Mon	mnw	water		dac	d a c	d a T	T V K	T A C	6	3667
1636	Vietnamese	vie	water		nước	n u o c	n u o T	N V V K	N Y U C	6	3667
1637	Bahnar-Golar	bdq	white		kɔːk	k ɔː k	k o k	K V K	K U K	5	3686
1638	Bahnar-Kontum	bdq	white		kɔːk	k ɔː k	k o k	K V K	K U K	5	3686
1639	Bahnar-Pleiku	bdq	white		kɔːk	k ɔː k	k o k	K V K	K U K	5	3686
1640	Bru-Talan	oog	white		blaˀaj	b l aˀa j	b l a y	P R V J	P L A J	8	3689
1641	Bru-Ubon	bru	white		klɔːʔ	k l ɔː ʔ	k l o 7	K R V H	K L U H	7	3688
1642	Khmer-Surin	kxm	white		sɑː	s ɑː	s o	S V	S A	12	3672
1643	Khmer-Standard	khm	white		sɑː	s ɑː	s o	S V	S A	12	3672
1644	Mon	mnw	white		pùʔ	p u ʔ	p u 7	P V H	P Y H	4	3685
1645	Vietnamese	vie	white		trắng	t r a n g	t r a n g	T R V N K	T R A N K	32	3684
1646	Bahnar-Golar	bdq	wind/air		kjaːl	k j aː l	k y a l	K J V R	K J A L	6	3703
1647	Bahnar-Kontum	bdq	wind/air		kjaːl	k j aː l	k y a l	K J V R	K J A L	6	3703
1648	Bahnar-Pleiku	bdq	wind/air		kjaːl	k j aː l	k y a l	K J V R	K J A L	6	3703
1649	Bru-Talan	oog	wind/air		kəjaˀal	k ə j aˀa l	k I y a l	K V J V R	K E J A L	6	3703
1650	Bru-Ubon	bru	wind/air		kəjaːl	k ə j aː l	k I y a l	K V J V R	K E J A L	6	3703
1651	Khmer-Surin	kxm	wind/air		kjɑl	k j ɑ l	k y o l	K J V R	K J A L	6	3703
1652	Khmer-Standard	khm	wind/air		kjɑl	k j ɑ l	k y o l	K J V R	K J A L	6	3703
1653	Mon	mnw	wind/air		ca	c a	T a	K V	C A	6	3703
1654	Vietnamese	vie	wind/air		gió	g i ó	g i o	K V V	K I U	6	3703
1655	Bahnar-Golar	bdq	wing		pənar	p ə n a r	p I n a r	P V N V R	P E N A R	6	3719
1656	Bahnar-Kontum	bdq	wing		pənar	p ə n a r	p I n a r	P V N V R	P E N A R	6	3719
1657	Bahnar-Pleiku	bdq	wing		pənar	p ə n a r	p I n a r	P V N V R	P E N A R	6	3719
1658	Bru-Talan	oog	wing		hanaŋˀ	h a n a ŋˀ	h a n a N	H V N V N	H A N A N	8	3720
1659	Bru-Ubon	bru	wing		sanaŋ	s a n a ŋ	s a n a N	S V N V N	S A N A N	8	3720
1660	Khmer-Surin	kxm	wing		slaːp	s l aː p	s l a p	S R V P	S L A P	11	3709
1661	Khmer-Standard	khm	wing		slaːp	s l aː p	s l a p	S R V P	S L A P	11	3709
1662	Mon	mnw	wing		hneaŋ	h n ea ŋ	h n e N	H N V N	H N E N	8	3720
1663	Vietnamese	vie	wing		cánh	c á n h	T a n h	K V N H	C A N H	22	3716
1664	Bahnar-Golar	bdq	woman		draʔkan	d r a ʔ k a n	d r a 7 k a n	T R V H K V N	T R A H K A N	7	3745
1665	Bahnar-Kontum	bdq	woman		draʔkan	d r a ʔ k a n	d r a 7 k a n	T R V H K V N	T R A H K A N	7	3745
1666	Bahnar-Pleiku	bdq	woman		ʔakan	ʔ a k a n	7 a k a n	H V K V N	H A K A N	7	3745
1667	Bru-Talan	oog	woman		kan	k a n	k a n	K V N	K A N	7	3745
1668	Bru-Ubon	bru	woman		mənseːm	m ə n s eː m	m I n s e m	M V N S V M	M E N S E M	11	3723
1669	Khmer-Surin	kxm	woman		srɛj	s r ɛ j	s r E y	S R V J	S R E J	8	3746
1670	Khmer-Standard	khm	woman		srəj	s r ə j	s r I y	S R V J	S R E J	8	3746
1671	Mon	mnw	woman		makì	m a k ì	m a k i	M V K V	M A K I	22	3731
1672	Vietnamese	vie	woman		đànbà	đàn bà	8 b	T P	D P	47	3743
1673	Bahnar-Golar	bdq	year		hənam	h ə n a m	h I n a m	H V N V M	H E N A M	1	3748
1674	Bahnar-Kontum	bdq	year		hanam	h a n a m	h a n a m	H V N V M	H A N A M	1	3748
1675	Bahnar-Pleiku	bdq	year		sənam	s ə n a m	s I n a m	S V N V M	S E N A M	1	3748
1676	Bru-Talan	oog	year		kəmɔˀɔ	k ə m ɔˀɔ	k I m o	K V M V	K E M U	3	3751
1677	Bru-Ubon	bru	year		kəmɔ̤ː	k ə m ɔ̤ː	k I m o	K V M V	K E M U	3	3751
1678	Khmer-Surin	kxm	year		ʨhnam	ʨ h n a m	C h n a m	K H N V M	C H N A M	1	3748
1679	Khmer-Standard	khm	year		cnam	c n a m	T n a m	K N V M	C N A M	1	3748
1680	Mon	mnw	year		hnam	h n a m	h n a m	H N V M	H N A M	1	3748
1681	Vietnamese	vie	year		năm	n ă m	n a m	N V M	N A M	1	3748
1682	Bahnar-Pleiku	bdq	yellow		drɛːŋ	d r ɛː ŋ	d r E N	T R V N	T R E N	4	3770
1683	Bru-Talan	oog	yellow		raˀaʔ	r aˀa ʔ	r a 7	R V H	R A H	3	3768
1684	Khmer-Surin	kxm	yellow		lɤːŋ	l ɤː ŋ	l o N	R V N	L E N	11	3757
1685	Khmer-Standard	khm	yellow		lɨəŋ	l ɨə ŋ	l I N	R V N	L I N	11	3757
1686	Mon	mnw	yellow		sacmic	sac mic	s m	S M	S M	17	3762
1687	Vietnamese	vie	yellow		vàng	v à n g	v a n g	W V N K	B A N K	30	3769
1688	Bahnar-Golar	bdq	you -pl.		ʔjɛm	ʔ j ɛ m	7 y E m	H J V M	H J E M	9	3789
1689	Bahnar-Kontum	bdq	you -pl.		ʔjɛm	ʔ j ɛ m	7 y E m	H J V M	H J E M	9	3789
1690	Bahnar-Pleiku	bdq	you -pl.		ʔjɛm	ʔ j ɛ m	7 y E m	H J V M	H J E M	9	3789
1691	Bru-Ubon	bru	you -pl.		maɲi̤a	m a ɲ i̤a	m a H i	M V N V	M A N I	17	3780
1692	Mon	mnw	you -pl.		mənɛ̀h	m ə n ɛ̀ h	m I n E h	M V N V H	M E N E H	27	3787
1693	Bahnar-Golar	bdq	you -sing.		ʔɛː	ʔ ɛː	7 E	H V	H E	7	3802
1694	Bahnar-Kontum	bdq	you -sing.		ʔɛː	ʔ ɛː	7 E	H V	H E	7	3802
1695	Bahnar-Pleiku	bdq	you -sing.		ʔɛː	ʔ ɛː	7 E	H V	H E	7	3802
1696	Bru-Talan	oog	you -sing.		maj	m a j	m a y	M V J	M A J	1	3790
1697	Bru-Ubon	bru	you -sing.		mɤj	m ɤ j	m o y	M V J	M E J	1	3790
1698	Khmer-Surin	kxm	you -sing.		Ɂɛːɲ	Ɂ ɛː ɲ	7 E H	H V N	H E N	14	3794
1699	Khmer-Standard	khm	you -sing.		ʔaeŋ	ʔ ae ŋ	7 a N	H V N	H A N	14	3794
1700	Mon	mnw	you -sing.		pèh	p è h	p e h	P V H	P E H	17	3796
1701	Vietnamese	vie	you -sing.		mày	m à y	m a i	M V V	M A Y	1	3790
